id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
12307,28,female,2,rent,nan,moderate,17778,42,domestic appliances
12308,30,female,1,rent,rich,rich,609,44,radio/TV
12309,26,female,1,own,moderate,little,13327,26,domestic appliances
12310,21,male,1,rent,little,nan,15753,48,repairs
12311,29,male,1,own,little,little,3325,34,car
12312,26,male,3,rent,moderate,nan,10295,31,furniture/equipment
12313,30,male,3,rent,little,little,18719,57,education
12314,65,male,3,own,little,nan,9476,11,repairs
12315,43,female,3,free,nan,little,3097,43,repairs
12316,55,female,1,own,nan,rich,5008,33,education
12317,59,male,0,own,rich,little,2709,51,radio/TV
12318,30,female,0,rent,rich,little,12122,49,education
12319,56,female,1,own,quite rich,moderate,19220,37,repairs
12320,45,female,0,own,nan,rich,17724,59,domestic appliances
12321,36,male,2,rent,moderate,little,18965,21,education
12322,41,male,2,rent,moderate,rich,13868,6,business
12323,36,male,0,free,quite rich,moderate,2338,11,car
12324,66,male,0,own,nan,little,14106,58,domestic appliances
12325,30,female,3,free,nan,moderate,11044,11,business
12326,30,female,1,free,moderate,little,19412,17,radio/TV
12327,45,female,1,free,nan,nan,16666,37,education
12328,70,female,2,rent,rich,nan,8476,24,car
12329,19,female,0,own,nan,nan,14558,56,car
12330,27,female,0,free,nan,rich,13537,20,furniture/equipment
12331,39,male,2,rent,moderate,moderate,1988,35,radio/TV
12332,30,female,2,rent,nan,little,6863,12,education
12333,26,female,3,own,little,nan,3939,33,business
12334,50,female,3,free,nan,moderate,13622,6,furniture/equipment
12335,31,female,0,rent,moderate,rich,10799,49,repairs
12336,65,female,2,free,little,moderate,17924,17,furniture/equipment
12337,37,male,0,own,rich,moderate,16172,7,education
12338,32,female,2,free,little,nan,17483,15,business
12339,49,female,2,rent,nan,little,12136,39,car
12340,50,male,2,free,nan,moderate,9482,8,repairs
12341,34,male,1,rent,quite rich,moderate,2308,29,education
12342,41,female,1,free,rich,nan,11637,27,business
12343,47,female,1,own,moderate,rich,5894,13,furniture/equipment
12344,30,male,3,own,moderate,rich,9824,22,car
12345,64,female,3,rent,moderate,little,13724,49,radio/TV
12346,65,male,2,own,quite rich,rich,15569,32,business
12347,33,male,1,own,moderate,rich,18451,11,repairs
12348,19,male,2,free,little,nan,18191,40,education
12349,34,female,1,free,rich,little,3057,37,car
12350,49,male,3,free,nan,moderate,18930,12,business
12351,60,male,3,free,moderate,nan,14419,30,radio/TV
12352,25,female,0,free,rich,moderate,15506,50,car
12353,69,male,2,own,nan,little,7199,14,repairs
12354,20,male,3,own,nan,nan,10919,39,radio/TV
12355,29,female,1,rent,little,nan,16543,37,education
12356,37,female,3,free,little,rich,14619,13,business
12357,33,female,1,rent,nan,rich,3412,53,radio/TV
12358,31,female,2,free,moderate,nan,4833,17,car
12359,33,female,2,free,quite rich,moderate,2389,45,business
12360,70,female,2,own,quite rich,moderate,17891,50,domestic appliances
12361,66,female,3,free,moderate,rich,18968,38,domestic appliances
12362,60,female,3,free,nan,moderate,2723,16,repairs
12363,66,female,2,own,moderate,little,5699,58,furniture/equipment
12364,68,female,3,free,quite rich,moderate,9590,37,radio/TV
12365,71,female,2,own,nan,moderate,19299,13,car
12366,50,female,2,free,little,nan,10741,24,education
12367,47,female,2,own,little,nan,12567,51,domestic appliances
12368,29,female,0,rent,quite rich,rich,4834,27,radio/TV
12369,32,male,1,free,little,rich,19379,18,business
12370,35,female,0,rent,moderate,little,13015,10,business
12371,45,female,2,free,rich,moderate,1915,24,car
12372,40,male,3,free,rich,moderate,11299,29,domestic appliances
12373,31,male,3,rent,little,nan,14220,25,education
12374,47,male,0,rent,moderate,little,12137,49,furniture/equipment
12375,50,female,2,own,little,rich,1500,12,business
12376,62,male,1,free,little,little,1593,38,domestic appliances
12377,32,female,1,rent,nan,moderate,10517,8,education
12378,24,female,3,free,moderate,moderate,11213,19,repairs
12379,32,male,1,own,quite rich,rich,7676,25,radio/TV
12380,69,male,0,rent,moderate,little,13193,36,education
12381,59,male,3,own,moderate,moderate,14048,25,business
12382,63,female,1,free,little,rich,6407,16,repairs
12383,55,male,2,own,nan,moderate,1960,45,furniture/equipment
12384,63,male,1,own,nan,nan,6921,36,repairs
12385,73,male,0,own,little,little,16070,37,repairs
12386,74,male,1,own,nan,rich,17793,21,domestic appliances
12387,71,male,1,free,moderate,rich,14275,47,business
12388,61,male,0,own,quite rich,moderate,7560,21,domestic appliances
12389,28,male,0,own,quite rich,little,4576,48,car
12390,46,male,0,own,quite rich,rich,19488,8,business
12391,48,female,2,own,nan,rich,6633,57,radio/TV
12392,42,male,1,own,rich,nan,8482,10,domestic appliances
12393,69,female,2,own,little,nan,10932,27,car
12394,71,male,2,free,rich,moderate,13376,33,education
12395,41,female,0,own,little,little,17588,18,business
12396,74,female,3,free,rich,moderate,12025,9,domestic appliances
12397,36,female,2,own,little,little,7745,8,education
12398,19,male,1,free,quite rich,little,1464,57,domestic appliances
12399,39,female,0,rent,quite rich,rich,15352,36,domestic appliances
12400,37,female,2,free,moderate,nan,6335,50,radio/TV
12401,50,male,1,rent,rich,rich,4678,26,furniture/equipment
12402,25,male,1,rent,little,rich,18690,31,furniture/equipment
12403,42,female,1,free,quite rich,moderate,11404,55,car
12404,63,male,2,rent,little,nan,7711,30,radio/TV
12405,26,male,0,rent,quite rich,rich,12601,27,domestic appliances
12406,51,male,0,rent,little,moderate,6065,7,business
12407,74,female,3,own,rich,rich,19075,45,business
12408,40,female,1,own,little,rich,2467,59,furniture/equipment
12409,22,male,0,free,quite rich,nan,14428,14,repairs
12410,72,female,3,free,little,moderate,18676,9,domestic appliances
12411,42,male,3,own,quite rich,rich,8662,52,furniture/equipment
12412,25,male,0,free,moderate,rich,4743,27,education
12413,33,male,0,free,nan,nan,13368,42,repairs
12414,71,male,0,own,nan,nan,13742,29,domestic appliances
12415,65,male,2,own,rich,nan,5346,55,car
12416,62,female,0,own,quite rich,moderate,10708,35,education
12417,69,male,0,own,rich,rich,19753,37,business
12418,32,female,2,rent,rich,nan,3217,43,education
12419,18,male,0,own,little,little,2928,17,furniture/equipment
12420,39,male,0,own,nan,rich,9553,30,education
12421,20,female,0,own,rich,moderate,1667,57,domestic appliances
12422,55,female,1,own,quite rich,moderate,840,15,education
12423,71,female,2,own,quite rich,little,3183,13,education
12424,31,female,0,rent,moderate,moderate,10090,39,car
12425,53,male,2,own,nan,rich,13041,50,business
12426,35,male,3,rent,rich,moderate,12262,9,business
12427,64,female,3,rent,moderate,rich,14362,22,education
12428,58,female,2,rent,quite rich,nan,13457,15,education
12429,35,female,0,free,nan,moderate,19289,58,car
12430,20,female,2,rent,quite rich,moderate,19265,42,radio/TV
12431,27,female,1,own,rich,rich,10289,34,radio/TV
12432,66,female,3,own,little,moderate,3527,23,education
12433,56,female,2,free,nan,moderate,3187,28,furniture/equipment
12434,64,female,0,own,moderate,moderate,11011,9,furniture/equipment
12435,18,male,0,rent,moderate,little,12426,48,education
12436,44,male,3,rent,little,little,9583,16,furniture/equipment
12437,74,female,1,rent,moderate,moderate,18945,47,education
12438,44,male,3,rent,little,rich,4123,22,business
12439,28,female,0,free,nan,moderate,3495,23,education
12440,66,male,1,rent,rich,nan,3701,59,furniture/equipment
12441,22,female,2,own,rich,nan,4840,38,education
12442,24,male,3,own,nan,nan,5899,32,furniture/equipment
12443,36,female,2,rent,moderate,rich,4639,29,education
12444,74,male,2,free,little,nan,19824,49,business
12445,73,male,0,free,nan,rich,2952,42,domestic appliances
12446,46,female,0,rent,nan,little,8074,20,business
12447,32,male,1,rent,rich,nan,6135,54,furniture/equipment
12448,52,male,2,rent,nan,moderate,15087,57,education
12449,64,male,1,own,quite rich,nan,11193,37,business
12450,54,male,1,own,nan,little,2894,12,car
12451,72,female,3,free,little,moderate,14223,39,business
12452,29,female,3,own,nan,moderate,14756,20,domestic appliances
12453,47,female,0,free,little,moderate,19922,32,domestic appliances
12454,37,male,2,free,rich,nan,17599,11,domestic appliances
12455,54,female,1,free,quite rich,moderate,12097,11,domestic appliances
12456,20,male,2,own,quite rich,nan,4638,58,radio/TV
12457,26,male,0,own,rich,rich,17227,16,furniture/equipment
12458,58,male,2,free,moderate,rich,13537,54,business
12459,56,female,1,free,little,moderate,7023,39,education
12460,43,female,1,rent,quite rich,nan,8782,38,repairs
12461,19,male,2,free,little,moderate,7738,49,education
12462,40,male,2,free,little,rich,17500,56,car
12463,40,female,2,rent,rich,little,16157,30,business
12464,38,male,1,free,little,little,281,15,business
12465,33,male,1,own,quite rich,little,13090,32,furniture/equipment
12466,26,female,3,own,nan,moderate,3828,51,education
12467,30,female,1,free,little,moderate,9866,54,repairs
12468,45,male,2,rent,quite rich,moderate,14183,45,business
12469,44,female,1,rent,little,rich,6442,21,domestic appliances
12470,68,male,2,own,quite rich,nan,14059,37,furniture/equipment
12471,69,male,1,own,quite rich,little,2619,31,education
12472,34,female,1,rent,moderate,moderate,5759,54,furniture/equipment
12473,55,male,2,free,little,little,14199,15,furniture/equipment
12474,53,female,0,free,nan,little,13097,36,car
12475,18,female,3,free,rich,little,4737,52,business
12476,35,female,1,free,little,rich,18995,13,repairs
12477,68,male,0,rent,nan,nan,2947,33,business
12478,26,female,1,rent,rich,nan,17719,52,business
12479,30,male,1,rent,quite rich,rich,16013,53,business
12480,57,male,1,free,nan,moderate,4038,21,domestic appliances
12481,72,female,2,free,moderate,little,19355,59,repairs
12482,62,male,1,own,moderate,moderate,5337,41,repairs
12483,32,female,0,rent,quite rich,rich,9641,42,furniture/equipment
12484,60,female,1,rent,rich,nan,5346,40,education
12485,61,female,1,free,rich,nan,14357,9,education
12486,63,male,1,free,moderate,nan,14734,44,furniture/equipment
12487,21,female,2,free,moderate,moderate,1803,58,education
12488,50,female,2,free,little,moderate,9760,52,furniture/equipment
12489,41,female,0,rent,quite rich,moderate,17065,27,car
12490,53,male,2,free,nan,little,688,27,repairs
12491,68,male,1,own,little,rich,15813,59,radio/TV
12492,58,female,2,free,little,nan,9447,54,radio/TV
12493,27,female,3,own,little,moderate,19171,16,business
12494,53,female,2,own,rich,rich,12692,33,furniture/equipment
12495,37,male,1,free,rich,moderate,10394,16,car
12496,58,male,1,free,rich,moderate,14026,49,domestic appliances
12497,62,male,3,own,rich,rich,4165,7,radio/TV
12498,61,female,2,free,nan,rich,19259,48,repairs
12499,28,male,1,own,rich,rich,311,7,furniture/equipment
12500,29,female,2,own,nan,nan,4566,18,business
12501,35,male,2,free,quite rich,little,18289,54,education
12502,47,female,1,own,little,little,17056,18,repairs
12503,61,male,0,own,moderate,moderate,5765,31,radio/TV
12504,65,male,2,own,little,moderate,19508,56,repairs
12505,54,male,3,rent,nan,moderate,13167,45,furniture/equipment
12506,37,male,0,free,rich,little,9074,38,business
12507,42,female,0,free,nan,rich,7704,43,business
12508,29,female,2,rent,moderate,rich,1800,26,furniture/equipment
12509,38,female,3,own,little,rich,14428,44,radio/TV
12510,42,male,2,rent,little,little,2272,22,business
12511,28,female,1,own,quite rich,moderate,13397,6,business
12512,26,male,1,free,nan,little,10778,7,car
12513,67,male,0,free,quite rich,nan,17952,38,car
12514,42,male,3,free,rich,rich,12695,33,radio/TV
12515,52,female,3,own,quite rich,little,7029,56,furniture/equipment
12516,69,male,0,rent,little,nan,19738,32,education
12517,49,male,2,rent,little,little,10860,37,radio/TV
12518,66,male,2,rent,little,moderate,11757,6,education
12519,31,male,1,own,rich,rich,17019,54,education
12520,18,female,2,free,nan,little,10608,27,education
12521,34,female,2,free,little,moderate,6839,35,car
12522,42,female,3,free,moderate,little,3664,46,repairs
12523,25,female,0,free,nan,moderate,15941,16,furniture/equipment
12524,22,female,2,rent,quite rich,nan,11596,53,education
12525,22,male,0,free,nan,nan,6835,20,radio/TV
12526,58,female,3,free,rich,nan,16575,54,furniture/equipment
12527,52,female,0,free,rich,little,6296,28,car
12528,36,female,1,free,nan,moderate,9853,42,business
12529,40,female,1,own,quite rich,nan,9570,21,furniture/equipment
12530,26,female,0,own,little,rich,2289,13,car
12531,71,male,2,rent,little,little,3634,56,business
12532,47,female,2,free,quite rich,moderate,1561,7,repairs
12533,67,male,2,own,quite rich,rich,809,42,education
12534,33,female,3,rent,little,little,10840,24,domestic appliances
12535,50,male,0,own,nan,rich,5438,44,radio/TV
12536,19,male,1,rent,quite rich,little,19812,34,business
12537,31,female,2,rent,rich,moderate,15807,14,repairs
12538,63,female,0,free,rich,rich,18382,25,repairs
12539,18,female,3,rent,rich,moderate,12525,18,education
12540,43,male,1,free,little,little,18103,50,repairs
12541,42,male,3,free,nan,rich,13898,34,business
12542,33,female,2,free,quite rich,moderate,1632,6,radio/TV
12543,32,male,0,rent,little,little,19664,14,business
12544,43,female,0,rent,little,rich,12727,28,education
12545,64,male,3,rent,little,nan,9169,46,radio/TV
12546,61,female,1,free,nan,rich,556,17,furniture/equipment
12547,33,male,1,rent,little,rich,5957,37,business
12548,31,female,3,own,rich,rich,16737,32,education
12549,46,male,2,free,rich,nan,14119,14,domestic appliances
12550,41,male,1,own,quite rich,rich,17301,38,repairs
12551,64,female,0,rent,quite rich,rich,513,40,domestic appliances
12552,72,male,3,own,nan,rich,4253,32,repairs
12553,32,male,2,own,quite rich,nan,2652,13,education
12554,36,female,0,own,moderate,moderate,4232,40,domestic appliances
12555,25,female,0,free,little,little,4681,42,radio/TV
12556,51,female,0,rent,rich,moderate,17366,21,education
12557,19,male,0,free,moderate,moderate,15343,9,business
12558,44,male,2,rent,nan,little,18085,56,education
12559,27,female,0,free,nan,rich,13143,33,business
12560,52,male,3,own,little,moderate,9254,30,radio/TV
12561,40,male,3,own,quite rich,moderate,19229,41,radio/TV
12562,66,male,3,free,moderate,little,11357,51,car
12563,25,female,1,own,quite rich,little,19458,36,furniture/equipment
12564,45,female,3,own,moderate,moderate,17500,24,car
12565,40,female,3,rent,little,nan,17961,36,education
12566,21,female,0,rent,nan,nan,293,49,education
12567,31,male,0,free,nan,nan,19315,21,furniture/equipment
12568,70,female,2,rent,little,moderate,11643,50,radio/TV
12569,59,female,2,free,nan,nan,10517,52,education
12570,46,male,3,free,nan,rich,6123,6,business
12571,18,female,3,rent,rich,little,9414,39,business
12572,21,male,2,free,quite rich,little,10420,20,business
12573,49,male,1,own,little,moderate,317,46,radio/TV
12574,50,male,3,own,quite rich,moderate,5327,37,furniture/equipment
12575,66,male,3,own,nan,rich,1819,25,business
12576,43,male,0,free,quite rich,rich,7292,6,radio/TV
12577,34,female,0,rent,little,little,18979,57,domestic appliances
12578,56,male,3,free,quite rich,little,11395,44,car
12579,40,female,1,own,little,moderate,6498,31,radio/TV
12580,49,female,1,own,little,moderate,11743,6,business
12581,69,male,2,own,rich,nan,12515,16,radio/TV
12582,32,male,1,rent,rich,little,19576,24,radio/TV
12583,30,female,1,own,quite rich,rich,16347,45,business
12584,19,male,2,free,quite rich,nan,2864,20,furniture/equipment
12585,36,female,1,own,moderate,moderate,16376,55,car
12586,41,male,2,rent,rich,rich,10766,58,furniture/equipment
12587,62,male,0,free,rich,moderate,9992,58,domestic appliances
12588,41,male,2,own,quite rich,nan,13338,38,business
12589,28,female,3,rent,rich,nan,15730,46,repairs
12590,39,male,1,rent,little,rich,17808,42,business
12591,32,male,1,own,rich,moderate,2117,16,business
12592,27,female,2,rent,rich,nan,19789,11,business
12593,58,female,3,own,little,moderate,6644,49,furniture/equipment
12594,44,female,1,free,little,nan,5979,16,radio/TV
12595,26,male,0,free,rich,little,10068,21,domestic appliances
12596,69,female,2,rent,moderate,nan,4356,20,repairs
12597,45,female,3,free,quite rich,moderate,11598,19,domestic appliances
12598,18,female,2,own,little,moderate,8743,29,domestic appliances
12599,34,male,1,free,rich,nan,6732,8,radio/TV
12600,48,male,1,free,nan,nan,8062,26,furniture/equipment
12601,61,male,1,own,moderate,rich,12890,36,domestic appliances
12602,27,female,2,own,quite rich,little,2620,22,business
12603,54,male,3,rent,moderate,rich,4320,13,domestic appliances
12604,46,male,2,own,little,little,4687,29,domestic appliances
12605,35,female,1,own,little,moderate,7493,9,education
12606,64,male,2,free,quite rich,little,7072,50,repairs
12607,55,male,0,own,rich,little,7275,28,education
12608,56,female,3,own,little,little,5809,43,domestic appliances
12609,66,female,1,free,nan,nan,16373,7,business
12610,23,female,2,rent,nan,little,3794,29,radio/TV
12611,57,female,0,own,rich,rich,19578,52,repairs
12612,29,female,1,free,nan,moderate,9766,31,radio/TV
12613,70,female,2,rent,nan,little,6462,24,furniture/equipment
12614,31,female,1,rent,moderate,little,4794,33,radio/TV
12615,61,female,3,rent,moderate,little,18435,12,repairs
12616,72,male,1,rent,nan,nan,1883,52,furniture/equipment
12617,27,male,1,free,nan,moderate,18895,21,education
12618,71,male,3,rent,nan,rich,787,37,car
12619,37,male,2,free,nan,moderate,13388,8,business
12620,32,male,0,rent,little,little,18306,59,car
12621,48,female,0,free,rich,little,4661,24,furniture/equipment
12622,24,female,3,rent,little,little,3567,24,business
12623,58,female,1,free,quite rich,moderate,2775,28,repairs
12624,27,male,2,own,quite rich,rich,7211,50,radio/TV
12625,27,male,2,own,rich,nan,8606,51,domestic appliances
12626,65,female,3,free,rich,rich,16838,29,business
12627,56,female,2,rent,nan,little,19472,14,furniture/equipment
12628,45,male,0,own,rich,moderate,5995,36,domestic appliances
12629,47,male,2,own,nan,little,19481,55,car
12630,54,female,1,free,little,little,5746,22,domestic appliances
12631,72,male,2,free,quite rich,little,11339,18,business
12632,20,male,3,free,moderate,nan,5055,28,domestic appliances
12633,67,female,3,free,little,little,6389,35,car
12634,60,female,0,free,quite rich,little,17101,53,radio/TV
12635,32,male,0,own,moderate,moderate,8347,32,furniture/equipment
12636,38,female,0,free,moderate,rich,12646,8,repairs
12637,69,female,0,rent,rich,little,14343,31,domestic appliances
12638,54,male,2,free,little,rich,9403,23,car
12639,73,male,2,rent,rich,rich,9355,53,domestic appliances
12640,29,female,3,own,moderate,little,7957,37,education
12641,21,male,3,own,little,moderate,16991,22,domestic appliances
12642,64,female,0,free,moderate,nan,13005,13,repairs
12643,26,female,2,own,quite rich,nan,11400,35,car
12644,56,male,1,own,moderate,rich,12403,44,domestic appliances
12645,59,female,0,rent,moderate,moderate,15034,24,car
12646,45,male,0,own,nan,little,10731,26,repairs
12647,40,male,2,free,quite rich,moderate,8951,59,business
12648,62,male,1,own,quite rich,rich,10856,50,domestic appliances
12649,57,male,0,own,quite rich,rich,5024,55,car
12650,61,female,1,rent,rich,rich,18715,31,domestic appliances
12651,39,female,3,rent,rich,moderate,4164,14,furniture/equipment
12652,41,female,3,free,moderate,rich,19162,21,radio/TV
12653,68,male,0,own,quite rich,moderate,3007,7,car
12654,43,female,2,own,nan,little,6225,59,education
12655,47,female,0,rent,moderate,little,3346,53,radio/TV
12656,50,male,2,own,quite rich,little,19349,28,education
12657,33,male,1,rent,quite rich,little,1163,12,domestic appliances
12658,39,female,2,free,rich,moderate,9069,9,furniture/equipment
12659,66,female,2,rent,quite rich,rich,12316,39,furniture/equipment
12660,74,male,0,free,nan,moderate,18192,30,business
12661,67,male,0,own,quite rich,moderate,18327,8,furniture/equipment
12662,60,male,3,own,nan,little,13861,59,repairs
12663,35,female,1,rent,moderate,moderate,11149,41,car
12664,24,female,3,free,rich,moderate,9066,30,business
12665,67,male,1,rent,quite rich,rich,8783,10,car
12666,43,male,3,own,moderate,little,4999,10,education
12667,25,female,1,rent,quite rich,little,19606,35,domestic appliances
12668,23,male,2,own,quite rich,nan,19058,16,radio/TV
12669,47,male,2,rent,little,rich,8669,44,education
12670,56,male,3,free,little,little,5655,8,furniture/equipment
12671,40,female,3,free,rich,moderate,14474,20,education
12672,49,female,3,free,rich,rich,13096,32,car
12673,39,male,0,rent,moderate,little,6936,8,radio/TV
12674,59,female,1,own,moderate,little,15002,40,furniture/equipment
12675,60,male,3,rent,little,moderate,12203,52,radio/TV
12676,74,female,0,own,nan,little,14696,9,business
12677,62,female,3,free,nan,rich,17125,25,radio/TV
12678,26,male,0,free,nan,nan,2175,20,business
12679,48,male,3,rent,little,rich,14910,10,radio/TV
12680,24,female,2,own,rich,rich,19384,31,domestic appliances
12681,26,female,0,own,nan,little,16771,7,domestic appliances
12682,30,male,2,own,nan,rich,8809,46,education
12683,20,male,0,rent,rich,rich,13058,14,education
12684,52,male,1,own,moderate,nan,19233,53,repairs
12685,50,male,1,rent,quite rich,moderate,725,59,repairs
12686,38,male,0,free,quite rich,moderate,13783,12,business
12687,48,female,3,free,rich,nan,15485,7,radio/TV
12688,69,male,0,free,moderate,little,7717,26,business
12689,51,male,1,free,rich,little,16687,57,repairs
12690,49,male,1,rent,little,nan,4323,11,furniture/equipment
12691,74,female,2,rent,nan,nan,7107,53,repairs
12692,52,female,1,rent,quite rich,little,17602,23,car
12693,32,female,3,free,moderate,rich,15298,22,business
12694,73,male,2,free,nan,rich,9422,53,domestic appliances
12695,49,male,1,own,rich,rich,6720,19,radio/TV
12696,23,female,0,rent,little,little,11986,33,business
12697,62,female,0,own,quite rich,moderate,17817,27,radio/TV
12698,38,male,1,free,rich,nan,10735,21,domestic appliances
12699,50,female,3,own,moderate,little,18482,10,business
12700,49,female,0,free,rich,rich,8563,51,radio/TV
12701,69,male,2,own,little,nan,9087,8,furniture/equipment
12702,36,female,3,rent,little,moderate,14148,20,car
12703,50,male,2,free,little,rich,7908,39,repairs
12704,45,female,2,rent,little,little,12960,9,education
12705,48,female,1,rent,rich,nan,12272,47,business
12706,38,male,2,own,nan,little,5528,50,domestic appliances
12707,71,female,0,free,quite rich,moderate,4120,35,radio/TV
12708,51,male,3,own,quite rich,moderate,12850,22,furniture/equipment
12709,32,female,2,rent,nan,moderate,7649,58,car
12710,31,female,1,free,moderate,moderate,10682,9,car
12711,36,male,2,own,moderate,little,8291,54,furniture/equipment
12712,60,male,0,rent,moderate,moderate,1686,51,furniture/equipment
12713,32,female,3,rent,nan,nan,18932,9,car
12714,23,male,0,own,rich,moderate,19672,58,education
12715,69,male,1,rent,quite rich,nan,10256,26,furniture/equipment
12716,26,male,2,rent,rich,moderate,18279,44,furniture/equipment
12717,54,male,0,own,quite rich,little,10832,21,car
12718,37,female,1,own,quite rich,rich,12383,38,domestic appliances
12719,51,female,1,rent,moderate,little,9453,41,domestic appliances
12720,55,male,1,own,little,little,523,52,radio/TV
12721,43,female,1,rent,moderate,rich,14350,10,furniture/equipment
12722,35,female,3,free,little,moderate,8630,51,car
12723,45,female,1,rent,quite rich,moderate,19751,29,repairs
12724,72,female,1,own,rich,moderate,417,22,repairs
12725,68,female,0,own,little,rich,6413,42,car
12726,26,female,2,rent,rich,moderate,4325,30,car
12727,49,male,1,rent,rich,rich,16323,56,domestic appliances
12728,70,female,2,rent,rich,moderate,9572,6,business
12729,73,female,3,free,quite rich,rich,4858,14,education
12730,23,male,1,own,rich,little,12086,14,radio/TV
12731,31,male,0,free,rich,moderate,11280,35,business
12732,45,female,0,own,rich,nan,8252,54,radio/TV
12733,41,female,2,free,quite rich,moderate,11382,38,domestic appliances
12734,30,female,3,rent,quite rich,little,16596,54,car
12735,60,female,3,free,rich,rich,19396,43,education
12736,29,male,1,rent,little,rich,13995,45,education
12737,68,male,2,own,little,rich,7802,25,education
12738,36,male,1,rent,quite rich,rich,6098,31,car
12739,38,male,3,own,little,moderate,15524,39,car
12740,44,male,1,own,rich,moderate,577,56,radio/TV
12741,36,male,1,rent,moderate,nan,10422,27,domestic appliances
12742,41,female,1,own,nan,little,10207,59,repairs
12743,43,female,1,own,rich,nan,19319,38,radio/TV
12744,62,female,1,own,nan,moderate,8290,26,radio/TV
12745,45,male,0,free,moderate,little,9087,35,car
12746,63,female,0,free,rich,little,19263,19,education
12747,73,male,1,own,nan,nan,14778,56,repairs
12748,35,male,3,free,rich,little,15149,54,business
12749,61,female,2,free,nan,rich,18818,39,repairs
12750,53,female,2,rent,moderate,little,1406,46,domestic appliances
12751,59,female,3,rent,little,rich,7197,53,education
12752,46,female,0,own,nan,little,6084,57,business
12753,34,male,2,rent,quite rich,rich,8209,34,domestic appliances
12754,21,female,3,own,nan,little,11986,15,car
12755,61,male,1,own,little,moderate,7662,43,furniture/equipment
12756,62,male,3,rent,little,moderate,8843,37,education
12757,46,female,1,rent,nan,rich,5198,34,car
12758,21,male,1,rent,moderate,nan,2886,21,domestic appliances
12759,27,female,1,own,quite rich,moderate,4715,52,car
12760,42,male,1,own,moderate,moderate,12781,31,education
12761,48,male,3,free,little,nan,352,56,radio/TV
12762,20,male,2,own,moderate,nan,13783,57,repairs
12763,64,female,2,rent,rich,nan,15649,7,furniture/equipment
12764,19,female,1,own,moderate,little,682,20,repairs
12765,74,female,1,rent,nan,nan,16107,22,education
12766,42,female,2,rent,rich,nan,1965,16,furniture/equipment
12767,66,male,3,own,nan,nan,5798,27,car
12768,23,female,2,rent,little,rich,19673,35,domestic appliances
12769,43,male,1,own,moderate,little,11012,59,car
12770,25,female,2,rent,moderate,moderate,5372,41,domestic appliances
12771,52,male,1,own,rich,moderate,18448,26,repairs
12772,44,male,3,free,rich,rich,6267,7,business
12773,42,male,0,own,quite rich,little,3997,17,car
12774,35,male,1,rent,moderate,nan,9084,59,furniture/equipment
12775,71,male,2,rent,quite rich,rich,6790,43,business
12776,18,male,0,own,moderate,rich,14154,18,education
12777,65,female,2,rent,nan,rich,15806,18,business
12778,56,male,2,free,little,little,8262,17,car
12779,20,female,2,own,rich,moderate,6563,44,car
12780,72,female,0,free,rich,little,14339,43,furniture/equipment
12781,21,female,1,free,little,moderate,7604,49,business
12782,58,male,0,own,quite rich,nan,5271,30,radio/TV
12783,54,male,0,free,moderate,rich,19021,13,furniture/equipment
12784,68,male,0,rent,rich,nan,4448,29,radio/TV
12785,32,male,3,free,moderate,little,5492,28,repairs
12786,25,male,3,rent,moderate,moderate,13895,8,furniture/equipment
12787,55,female,0,free,quite rich,little,15316,38,education
12788,67,male,0,own,quite rich,little,19272,22,repairs
12789,36,female,1,rent,moderate,little,15597,30,car
12790,73,male,3,free,moderate,rich,16426,23,car
12791,64,male,1,rent,little,rich,15170,55,education
12792,43,female,2,own,nan,moderate,6808,43,education
12793,56,female,2,rent,quite rich,moderate,17079,15,radio/TV
12794,27,male,2,rent,moderate,moderate,18301,26,repairs
12795,55,male,3,rent,rich,rich,811,54,radio/TV
12796,31,female,2,free,moderate,rich,11472,36,education
12797,66,male,3,free,rich,moderate,12313,33,furniture/equipment
12798,58,male,3,rent,quite rich,nan,19816,17,radio/TV
12799,36,male,1,own,rich,nan,7109,17,furniture/equipment
12800,47,male,2,rent,nan,moderate,6893,37,education
12801,22,male,1,rent,nan,rich,12889,57,repairs
12802,72,male,2,free,little,nan,8672,29,furniture/equipment
12803,48,female,0,rent,moderate,little,19117,30,business
12804,24,male,1,rent,nan,moderate,10151,11,education
12805,36,female,3,own,rich,moderate,19047,18,radio/TV
12806,48,male,1,own,rich,little,6532,49,car
12807,69,female,2,rent,quite rich,nan,4696,6,radio/TV
12808,56,male,3,rent,moderate,little,13160,42,repairs
12809,41,female,3,own,little,rich,8945,11,education
12810,51,female,3,own,moderate,moderate,16470,52,radio/TV
12811,74,male,2,rent,little,moderate,11248,47,education
12812,40,female,0,rent,quite rich,little,6275,26,business
12813,65,female,0,rent,moderate,little,11725,7,car
12814,62,male,1,free,rich,rich,12570,48,car
12815,57,male,3,own,nan,little,17121,38,education
12816,23,female,2,own,rich,rich,8857,52,car
12817,55,male,1,free,little,moderate,2135,38,repairs
12818,58,female,2,own,nan,moderate,5303,14,radio/TV
12819,53,male,1,free,rich,moderate,2022,38,business
12820,44,female,1,own,nan,rich,9118,36,car
12821,28,female,2,rent,little,rich,1114,33,repairs
12822,22,female,2,free,nan,little,9337,47,car
12823,74,female,0,free,rich,nan,2454,27,furniture/equipment
